full_name,name,description,num_developers,total_commits,languages,primary_language,first_commit_date,last_commit_date,license_spdx,license_name,is_osi_approved,topics,has_contributing,has_code_of_conduct,has_governance,has_readme,has_issue_template,has_pr_template,health_percentage,stars,watchers,forks,cloud_detected,cloud_signals,ai_ml_detected,ai_ml_signals,has_ci_cd,ci_cd_workflows,deployments_count,created_at,updated_at,pushed_at,size_kb
CodeForAfrica/openAFRICA,openAFRICA,openAFRICA aims to be largest independent repository of open data on the African continent. This repo contains the primary deployment scripts and files. Accessible at https://open.africa,6,154,Dockerfile=6239;Shell=4112;Makefile=1946;Procfile=265,Dockerfile,2017-08-30T14:06:00+00:00,2025-10-16T10:27:31+00:00,GPL-3.0,GNU General Public License v3.0,True,ckan;openafrica;open-africa;dokku;docker;deployment;data-portal;ckanext-openafrica;docker-image;open-data;ckanext-socialite;redis;solr;rabbitmq;africa;kenya;south-africa;nigeria;tanzania,True,True,False,True,True,True,75,33,16,12,True,topic:docker;language:Dockerfile;file:Dockerfile;file:docker-compose.yml;file:Procfile,False,,False,,0,2017-08-30T14:06:00+00:00,2026-05-15T20:19:48+00:00,2025-10-16T10:27:31+00:00,162
CodeForAfrica/outbreak.AFRICA,outbreak.AFRICA,Coronavirus Disease 2019 Edition,11,1352,JavaScript=407281;Dockerfile=1765;Procfile=32,JavaScript,2020-03-19T05:12:00+00:00,2025-10-10T09:11:50+00:00,GPL-3.0,GNU General Public License v3.0,True,,False,False,False,True,False,True,50,1,7,3,True,language:Dockerfile;file:Dockerfile;file:Procfile,False,,True,main;CodeQL,950,2020-03-19T05:11:52+00:00,2025-10-10T09:11:55+00:00,2025-10-10T09:11:52+00:00,28731
CodeForAfrica/sensors.AFRICA,sensors.AFRICA,"sensors.AFRICA is a citizen-science focused project by Code for Africa that seeks to address data gaps by providing low cost sensors, which people can use to measure and monitor the quality of the air, water, and sound in their communities.",19,1274,JavaScript=292248;Dockerfile=3052;CSS=2273,JavaScript,2018-03-23T08:27:36+00:00,2026-05-18T12:18:11+00:00,GPL-3.0,GNU General Public License v3.0,True,sensors-africa;sensors;sensor-data-collection;air-quality;air-quality-sensor;air-quality-measurements;africa;nairobi;kenya;dar-es-salaam;tanzania;lagos;nigeria;abuja;kampala;uganda,True,False,False,True,True,True,62,23,8,10,True,language:Dockerfile;file:Dockerfile,False,,True,main;Dependabot Updates;CodeQL,434,2018-05-16T15:21:48+00:00,2026-05-18T12:18:17+00:00,2026-05-20T06:51:57+00:00,23524
CodeForAfrica/ui,ui,,19,10994,JavaScript=6720051;TypeScript=700503;Dockerfile=47858;CSS=25180;MDX=19466;HTML=8143;HCL=4801;Shell=2689;Makefile=986;SCSS=483,JavaScript,2022-07-13T08:26:07+00:00,2026-06-01T08:43:21+00:00,MIT,MIT License,True,react;mui;nextjs;docker;monorepo;turborepo,False,False,False,True,False,True,37,3,4,2,True,topic:docker;language:HCL;language:Dockerfile;file:Dockerfile;file:docker-compose.yml,False,,True,CI;Release | PROD;charterAFRICA | Deploy | DEV;Code for Africa | Deploy | PROD;charterAFRICA | Deploy | PROD;Code for Africa | Deploy | REVIEW APP;CodeQL;Dependabot Updates;RoboShield | Deploy | DEV;Climate Mapped Africa | Deploy | DEV;RoboShield | Deploy | PROD;Code for Africa | Deploy | DEV;CivicSignal Blog | Deploy | PROD;Build Docker Image;Push to Dokku;Pesayetu | Deploy | DEV;TwoopsTracker | Deploy | Dev;VPN Manager | Deploy | DEV;Copilot coding agent;Claude Code;Build Base Images;TechLab Blog;TrustLab;Apps PR Build;PR Build;Reusable | Bake and Push;Reusable Build | TechLab Blog;Reusable Build | TrustLab;TechLab Blog | Deploy | DEV;TrustLab | Deploy | DEV,2801,2022-03-03T11:17:40+00:00,2026-06-01T08:43:26+00:00,2026-06-01T08:47:11+00:00,169639
CodeforLeipzig/leipziggiesst,leipziggiesst,,16,1359,TypeScript=364428;JavaScript=11777;EJS=4397;HTML=941;CSS=719;Dockerfile=158,TypeScript,2019-08-05T19:46:41+00:00,2026-03-05T08:06:40+00:00,MIT,MIT License,True,,False,False,False,False,False,False,0,12,1,5,True,language:Dockerfile;file:Dockerfile,False,,True,Node.js CI;Code scanning - action,11,2020-05-21T13:30:51+00:00,2026-03-05T08:06:57+00:00,2026-03-05T08:06:53+00:00,42893
CodeforLeipzig/weihnachtsmarktkarte,weihnachtsmarktkarte,A map of christmas markets in Leipzig based on Open Data,9,454,TypeScript=429206;JavaScript=87931;CSS=7802,TypeScript,2022-11-09T12:12:08+00:00,2025-12-17T18:46:37+00:00,MIT,MIT License,True,,False,False,False,False,False,False,0,0,0,0,False,,False,,True,CheckForChanges;Say something,0,2022-11-20T16:50:16+00:00,2025-12-17T18:46:55+00:00,2026-06-01T23:00:28+00:00,27627
VoteIT/voteit_frontend,voteit_frontend,,3,2043,Vue=745389;TypeScript=359306;Sass=2635;HTML=752;JavaScript=674;Shell=424;Dockerfile=132,Vue,2020-11-09T10:55:47+00:00,2026-06-02T14:05:02+00:00,AGPL-3.0,GNU Affero General Public License v3.0,True,,True,False,False,True,False,True,50,0,2,0,True,language:Dockerfile;file:Dockerfile,False,,True,Build Docker image;Node.js CI;Dependabot Updates,0,2020-11-11T09:53:23+00:00,2026-06-02T14:10:43+00:00,2026-06-02T14:05:08+00:00,5697
bikespace/bikespace,bikespace,The BikeSpace app allows cyclists in Toronto to find bike parking and report issues with bicycle parking or areas where bicycle parking is needed.,16,398,JavaScript=951114;TypeScript=259080;Jupyter Notebook=181413;Python=167530;CSS=50333;SCSS=45156;HTML=40845;Makefile=7552;MDX=4778;Dockerfile=2495;Mako=494;Shell=339,JavaScript,2019-02-19T23:46:08+00:00,2026-05-28T01:27:45+00:00,MIT,MIT License,True,,False,False,False,True,False,False,37,32,5,12,True,language:Dockerfile,True,language:Jupyter Notebook,True,Deploy Landing Page Redirect;Deploy Dashboard Redirect;Deploy to Fly.io;Manual publish to cloudflare pages;Test and Preview;Dependabot Updates;Dependency Graph,789,2023-03-04T00:17:31+00:00,2026-05-28T01:27:50+00:00,2026-05-31T18:01:41+00:00,323110
choruslabs/chorus,chorus,open-source app for large-scale deliberation,11,373,Python=168608;TypeScript=158314;CSS=22696;MDX=11371;JavaScript=9190;Dockerfile=1467;HTML=898;Mako=635;Shell=123,Python,2024-11-27T11:29:20+00:00,2026-04-29T00:28:06+00:00,AGPL-3.0,GNU Affero General Public License v3.0,True,discussion-platform;polis,False,False,False,True,False,False,50,9,1,7,True,language:Dockerfile;file:docker-compose.yml,False,,True,API server test;Frontend build test;CodeQL Advanced;Build and Publish to GitHub Pages;Engine test;Copilot code review;Copilot coding agent;pages-build-deployment,1,2025-10-19T19:49:21+00:00,2026-04-29T00:28:10+00:00,2026-04-29T00:28:06+00:00,4589
civic-dashboard/civic-dashboard-web,civic-dashboard-web,Making Toronto's democracy more accessible.,23,200,TypeScript=1058557;Jupyter Notebook=23023;JavaScript=8704;Shell=4580;CSS=1190,TypeScript,2024-10-31T15:50:24+00:00,2026-05-27T00:51:54+00:00,MIT,MIT License,True,civic-tech;democracy;toronto;toronto-open-data,True,False,False,True,False,True,75,23,1,11,True,file:docker-compose.yml,True,language:Jupyter Notebook,True,Check migrations;Deploy web app;Lint;Migrate database;Notify subscribers;Upload preview deployment;Upload preview deployment manual;Refresh subscription queries;Seed database;Repopulate raw contacts and votes;Update database;CodeQL,43,2024-10-31T15:50:24+00:00,2026-05-27T01:01:56+00:00,2026-06-02T19:29:47+00:00,31585
civiform/civiform,civiform,"CiviForm simplifies the application process for government benefits programs by re-using applicant data for multiple benefits applications. It's being developed by Google.org and Exygy, in collaboration with the City of Seattle and community contributors.",92,7916,Java=8688357;TypeScript=2027770;HTML=451298;Python=163606;Ruby=107914;Teal=93017;Shell=91176;SCSS=43733;Scala=20313;JavaScript=17021;PLpgSQL=10024;Dockerfile=9622;CSS=5443;Jinja=1938,Java,2021-01-06T01:24:43+00:00,2026-06-02T19:59:13+00:00,Apache-2.0,Apache License 2.0,True,seattle;civic-tech;government;public-interest-technology,True,True,False,True,False,True,100,127,13,93,True,language:Dockerfile;file:Dockerfile;file:docker-compose.yml,False,,True,Format;CodeQL Advanced;Server - On PR to Main;Skip Server - On PR to Main;Scorecards supply-chain security;Tests;Skip Tests;On Push to Main;Create Release;Build and Push Docker Images;Add New Issues to Project;Env Variable Docs - Validate;Auto Author Assign;Env Variable Docs - Generate;Auto Request Review;Labeler;Build a server image from a branch;Generate SBOM;Run JMeter Test;Scan for Secrets;Dependabot Updates;Codespaces Prebuilds;Copilot coding agent;Translations Context Reminder;Copilot code review;Dependency Graph;Transifex Auto Lock Untranslated Strings;Run Performance Regression Test;Community Contributor Response,0,2021-01-06T01:24:42+00:00,2026-06-03T05:50:00+00:00,2026-06-02T23:38:51+00:00,951730
code-for-magdeburg/StadtratWatch-web,StadtratWatch-web,Auswertungen und Visualisierungen von Abstimmungen im Magdeburger Stadtrat,2,389,TypeScript=264652;Astro=198735;CSS=16468;Dockerfile=5905;Shell=2009;JavaScript=1894;PowerShell=1409;Python=769,TypeScript,2023-10-12T18:23:56+00:00,2026-05-21T19:57:47+00:00,MIT,MIT License,True,,False,False,False,True,False,False,62,4,3,2,True,language:Dockerfile,False,,True,CI;pages-build-deployment,160,2023-11-01T17:42:24+00:00,2026-05-21T19:58:24+00:00,2026-05-21T19:57:50+00:00,38161
codeforamerica/asap_pdf,asap_pdf,This app helps you to manage your PDF accessibility audit workflows.,6,605,Ruby=188534;HTML=146758;Python=128742;HCL=57929;JavaScript=32091;Shell=14538;Dockerfile=6260;CSS=2388,Ruby,2025-01-31T21:38:58+00:00,2026-05-11T23:18:35+00:00,Apache-2.0,Apache License 2.0,True,,False,False,False,True,False,True,50,47,7,7,True,language:HCL;language:Dockerfile;file:Dockerfile;file:docker-compose.yml,False,,True,CI;CI;Deploy to AWS;AI Evaluation Suite;Tofu Plan;Python Component Linting and Tests;Dependabot Updates,1733,2025-01-31T21:38:33+00:00,2026-05-11T23:18:40+00:00,2026-06-02T10:39:37+00:00,87056
codeforamerica/cmr-maryland-eligibility-determination,cmr-maryland-eligibility-determination,Maryland Eligibility Determination,1,49,Python=39611,Python,2025-03-04T21:42:06+00:00,2026-01-27T21:40:07+00:00,,,False,,False,False,False,True,False,False,25,1,5,0,False,,False,,False,,0,2025-03-04T21:40:06+00:00,2026-01-27T21:40:12+00:00,2026-01-27T21:40:08+00:00,53
codeforamerica/document-transfer-service,document-transfer-service,Microservice to securely transfer documents.,1,13,Ruby=122377;Dockerfile=671,Ruby,2024-05-07T15:36:24+00:00,2025-07-02T20:15:15+00:00,MIT,MIT License,True,,False,False,False,True,False,True,62,3,5,1,True,language:Dockerfile;file:Dockerfile;file:docker-compose.yaml,False,,True,Branch Checks;CodeQL;Deploy documentation;Main Checks;Pull Request Checks;Dependabot Updates,14,2024-05-07T15:36:24+00:00,2026-01-10T23:13:30+00:00,2025-07-02T20:15:17+00:00,104
codeforamerica/efiler-api,efiler-api,an internal API for efiling,8,142,Ruby=86486;Shell=4388;Dockerfile=3314,Ruby,2025-06-23T19:40:06+00:00,2026-06-01T18:22:06+00:00,MIT,MIT License,True,tax-benefits,False,False,False,True,False,False,50,3,1,0,True,language:Dockerfile;file:Dockerfile,False,,True,CI;Deploy to AWS Demo;Deploy to AWS Production;Standard Ruby Linter;Dependabot Updates,118,2025-06-23T19:40:06+00:00,2026-06-01T18:22:29+00:00,2026-06-03T22:55:16+00:00,346
codeforamerica/form-flow,form-flow,A Java library placed in a Spring Boot app to generate form flows.,18,1356,Java=753577;HTML=453780;CSS=31040;JavaScript=12201;Shell=4389,Java,2022-09-21T17:03:04+00:00,2026-06-03T22:31:31+00:00,NOASSERTION,Other,False,,False,False,False,True,False,True,50,4,6,0,False,,False,,True,Create Pre-Release;Publish Snapshot to Sonatype;Create Release;Run tests;Dependabot Updates;CodeQL,0,2022-09-21T17:02:31+00:00,2026-06-03T22:31:36+00:00,2026-06-03T22:31:34+00:00,16006
codeforamerica/pya,pya,FYST Prior Year Access - for clients retrieving a pdf of a past tax return,10,280,Ruby=205353;SCSS=47167;HTML=32893;JavaScript=16425;Shell=4533;Dockerfile=2516;CSS=491,Ruby,2025-05-21T20:41:28+00:00,2026-05-27T18:56:25+00:00,,,False,tax-benefits,False,False,False,True,False,True,37,2,2,0,True,language:Dockerfile;file:Dockerfile,False,,True,Run Linter and Tests;Deploy to AWS Production;Deploy to AWS Staging;Standard Ruby Linter;Dependabot Updates,758,2025-05-21T20:30:02+00:00,2026-05-27T18:57:02+00:00,2026-06-02T20:01:03+00:00,16941
codeforamerica/tax-benefits-backend,tax-benefits-backend,Infrastructure configuration for the Tax Benefits backend.,11,196,HCL=121534;Dockerfile=299,HCL,2024-04-12T19:06:39+00:00,2026-06-02T23:46:11+00:00,MIT,MIT License,True,tax-benefits,False,False,False,True,False,False,37,3,7,0,True,language:HCL;language:Dockerfile;file:Dockerfile;file:docker-compose.yaml,False,,True,Branch Checks;CodeQL;Deploy infrastructure;Deploy documentation;Main Checks;Plan infrastructure changes;Redeploy bastion,1366,2024-04-12T19:06:38+00:00,2026-06-02T23:46:15+00:00,2026-06-02T23:46:12+00:00,1053
codeforamerica/vita-min,vita-min,"FileYourStateTaxes, GetYourRefund, & GetCTC code, originally named b/c it helps VITA in a minimal way",53,7259,Ruby=8021804;HTML=982514;SCSS=157135;JavaScript=111567;Shell=9205;Dockerfile=3460;Procfile=204,Ruby,2019-11-05T00:58:18+00:00,2026-05-29T17:28:27+00:00,MIT,MIT License,True,tax-benefits,False,False,False,True,False,True,50,34,8,15,True,language:Dockerfile;file:Dockerfile;file:docker-compose.yml;file:Procfile,False,,True,Heroku Pull Request;Heroku Teardown Pull Request;Publish Latest Release;Security Scan;Socket Security Scan;Tag and Release;Dependabot Updates;CodeQL,2061,2019-11-05T01:00:00+00:00,2026-05-29T17:28:35+00:00,2026-06-02T01:14:40+00:00,86985
codeforberlin/we-count,we-count,"data and documentation for the ""we count"" project with ADFC",4,538,Python=208533;Shell=3496;CSS=3159;HTML=2972;JavaScript=1573,Python,2021-11-30T07:44:00+00:00,2026-05-22T17:06:56+00:00,MIT,MIT License,True,,False,False,False,True,False,False,37,5,3,2,False,,False,,False,,0,2021-11-30T07:43:59+00:00,2026-05-22T17:07:04+00:00,2026-05-22T17:07:00+00:00,21189
codeforbielefeld/baumbie,baumbie,"Hier entwickeln wir eine Karte, auf der Bürger:innen mit Bäumen interagieren können - und ihnen helfen!",7,263,Svelte=90764;TypeScript=45430;Jupyter Notebook=19309;Python=13883;JavaScript=1473;CSS=1055;PLpgSQL=1004;HTML=431,Svelte,2024-01-31T21:07:32+00:00,2026-05-07T17:54:15+00:00,,,False,,False,False,False,True,False,False,37,5,4,2,False,,True,language:Jupyter Notebook,False,,0,2024-01-31T21:06:05+00:00,2026-05-07T17:54:22+00:00,2026-05-28T19:26:39+00:00,4044
codeforbielefeld/losdb,losdb,Linked Open Statistical Data Bielefeld,2,28,Elixir=24069,Elixir,2020-09-21T20:20:50+00:00,2025-07-28T14:21:42+00:00,,,False,,False,False,False,True,False,False,25,9,6,0,False,,False,,False,,0,2021-04-22T16:00:36+00:00,2026-01-22T13:48:39+00:00,2025-07-28T14:21:47+00:00,883
codeforcologne/Denkmal-4D-Koeln,Denkmal-4D-Koeln,Mit dieser Web Anwendung könnt Ihr Metadaten über die Denkmäler der Stadt Köln pflegen.,3,39,HTML=208530;JavaScript=46265,HTML,2024-05-31T15:50:58+00:00,2026-03-15T09:54:07+00:00,BSD-2-Clause,"BSD 2-Clause ""Simplified"" License",True,,False,False,False,True,False,False,50,2,6,1,False,,False,,True,pages-build-deployment,34,2024-05-31T15:50:57+00:00,2026-03-15T09:54:21+00:00,2026-03-15T09:54:16+00:00,11909
codeforjapan/BirdXplorer,BirdXplorer,,9,738,Python=784526;Shell=47260;Dockerfile=1974;Mako=635,Python,2023-09-24T01:43:12+00:00,2026-06-02T10:26:02+00:00,MIT,MIT License,True,,False,False,False,True,False,False,50,11,5,4,True,language:Dockerfile,False,,True,Deploy CDK Stack;Release;Claude PR Assistant;Deploy API (dev);Deploy ETL Lambda (dev);Main;Release to Production;Project test;Dependency Graph,0,2023-09-06T08:59:29+00:00,2026-06-02T10:26:08+00:00,2026-06-02T10:26:04+00:00,2139
codeforjapan/decidim-cfj,decidim-cfj,Code for Japan Decidim,13,2044,Ruby=838501;HTML=106011;JavaScript=52230;SCSS=18958;Shell=9665;Dockerfile=2699,Ruby,2020-08-29T07:36:18+00:00,2026-06-02T08:44:53+00:00,AGPL-3.0,GNU Affero General Public License v3.0,True,,False,False,False,True,False,True,50,56,13,42,True,language:Dockerfile;file:Dockerfile;file:docker-compose.yml,False,,True,Pull request Check & test;Main;build image;Check;Deploy to ecs;Release;Dependabot Updates;Dependencies PR;Brakeman Security Scan,0,2020-08-15T06:15:35+00:00,2026-06-02T08:44:58+00:00,2026-06-02T09:01:29+00:00,47772
codeformuenster/klimawatch,klimawatch,Ist deine Kommune schon klimaneutral?,15,264,HTML=560647;JavaScript=64445;CSS=39831;Python=31716;Makefile=1040;Dockerfile=870;Shell=708;PowerShell=452,HTML,2019-10-31T16:54:01+00:00,2026-04-23T17:16:20+00:00,Apache-2.0,Apache License 2.0,True,,False,False,False,True,False,False,37,24,9,20,True,language:Dockerfile,False,,True,Dependabot Updates,44,2019-10-31T16:10:47+00:00,2026-04-23T17:16:25+00:00,2026-04-23T17:16:22+00:00,19938
digidemlab/decidim-census,decidim-census,A mapping of Decidim instances,2,1485,HTML=12611;Python=11077;Ruby=474,HTML,2021-07-05T08:27:36+00:00,2026-06-04T06:39:59+00:00,AGPL-3.0,GNU Affero General Public License v3.0,True,decidim,False,False,False,True,False,False,37,6,3,6,False,,False,,True,Fetch data;pages-build-deployment,1391,2021-07-05T09:15:02+00:00,2026-06-04T06:40:05+00:00,2026-06-04T06:40:00+00:00,12654
g0v/tw-rental-house-data,tw-rental-house-data,Collection of Taiwan Rental House Data from Public Website,9,383,Python=314161;Vue=89818;HTML=31130;Shell=9983;JavaScript=4555;SCSS=235,Python,2018-05-14T13:50:38+00:00,2026-05-03T09:05:04+00:00,MIT,MIT License,True,,False,False,False,True,False,False,50,169,46,32,False,,False,,True,ui-deploy;ui-pull-request;pages-build-deployment,139,2018-05-14T13:50:37+00:00,2026-05-24T04:33:10+00:00,2026-05-03T09:06:09+00:00,28810
iiab/iiab,iiab,Internet-in-a-Box - Build your own LIBRARY OF ALEXANDRIA with a Raspberry Pi !,27,14729,Jinja=466507;Shell=317746;JavaScript=116355;Python=104004;Erlang=22394;CSS=11197;PHP=11146;HTML=9250,Jinja,2017-05-27T18:09:50+00:00,2026-06-03T21:53:24+00:00,GPL-2.0,GNU General Public License v2.0,True,learning;hotspot;library;scraping;raspberry-pi;knowledge;medical;prisoners-rights;human-rights;curriculum-design;diy;community-networks;mesh-networks;privacy;civic-tech;offline;home-school;international-development;distraction-free;education,True,False,False,True,True,True,62,1877,26,135,False,,False,,True,"""40 min"" IIAB ""NONE"" on RasPiOS on Zero 2 W;""40 min"" IIAB ""UNITTEST"" on Debian 12 on RPi 3;""40 min"" IIAB ""FULL"" on Ubuntu 24.04 on x86-64;""40 min"" IIAB ""FULL"" on Ubuntu 25.10 on x86-64;Build RaspberryPi OS sdcard image;.github/workflows/roles-ci.yml;IIAB IMAGE on RPiOS Lite Latest;""40 min"" IIAB ""UNITTEST"" on Debian 12 on RPi 3;""40 min"" IIAB ""NONE"" on RasPiOS on Zero 2 W;IIAB Lite IMAGE on RPiOS Lite Latest;IIAB IMAGE on RPiOS Full Latest;""35 min"" IIAB ""LARGE"" on RPiOS Lite Latest;IIAB Desktop IMAGE on RPiOS Latest;""35 min"" IIAB ""LARGE"" on RPiOS Lite Latest;""15 min"" IIAB ""SMALL"" on RPiOS Lite;""20 min"" IIAB ""MEDIUM"" on RPiOS Desktop;""10 min"" IIAB ""TINY"" on RPiOS Lite;""35 min"" IIAB ""LARGE"" on RPiOS Lite;""30 min"" LARGE on Ubuntu 24.04;""35 min"" LARGE on latest RPiOS Lite;""2 min"" Lint on Ubuntu 24.04;""20 min"" UNITTEST IMAGE on latest RPiOS Desktop;""10 min"" UNITTEST IMAGE on latest RPiOS Lite;""15 min"" TINY IMAGE on latest RPiOS Lite;""20 min"" SMALL IMAGE on latest RPiOS Lite;""07 min"" UNITTEST on Ubuntu 24.04;""02 min"" Ansible Lint on Ubuntu 24.04",0,2017-05-28T14:28:40+00:00,2026-06-04T02:25:08+00:00,2026-06-03T21:53:24+00:00,25109
