repo_full_name,total_issues,open_issues,closed_issues,avg_comments_per_issue,median_time_to_close_days,unique_openers,unique_closers,top_openers,top_closers
CodeForAfrica/ui,446,53,393,0.55,15.88,14,11,kilemensi=153;kelvinkipruto=89;RalphOwah=85;koechkevin=50;m453h=30;damolaoladipo=10;DavidTheProgrammer=10;thepsalmist=7;Sakina-Salem=6;Warukira=2;nerdlet=1;gertie-sheshe=1;esirK=1;charscs=1,kelvinkipruto=153;kilemensi=102;koechkevin=66;RalphOwah=36;m453h=16;nerdlet=8;esirK=4;thepsalmist=3;gertie-sheshe=2;DavidTheProgrammer=2;gideonmaina=1
CodeforLeipzig/leipziggiesst,59,3,56,1.14,1090.65,5,2,joergreichert=54;nkaleidoskop=2;meisteredermeistereder-the-second=1;Bastianowicz=1;renovate[bot]=1,joergreichert=55;nkaleidoskop=1
CodeforLeipzig/weihnachtsmarktkarte,18,9,9,0.5,11.12,3,1,joergreichert=16;renovate[bot]=1;tifa365=1,joergreichert=9
VoteIT/voteit_frontend,377,79,298,0.34,12.34,3,2,robinharms=232;schyffel=144;andershultman=1,schyffel=258;robinharms=40
bikespace/bikespace,93,26,67,1.17,29.51,9,7,sonalranjit=50;tallcoleman=26;hulloanson=10;whoisasey=2;thomassth=1;portolosalexandra=1;iainmcampbell=1;jordyarms=1;KarishmaChanglani=1,sonalranjit=36;tallcoleman=16;hulloanson=5;kevinluo201=3;whoisasey=1;thomassth=1;krhobeck=1
choruslabs/chorus,28,14,14,0.82,4.97,3,2,MaanasArora=17;thomassth=9;SebastianRuan=2,MaanasArora=13;thomassth=1
civic-dashboard/civic-dashboard-web,216,78,138,0.82,27.49,23,17,jeromegv=74;yaelboyd=32;garobrik=27;vinsamp1=14;IlyaKreynin=12;jwlibre=11;17cliu=8;melissaluc=6;sergeikofman444=6;sarmilan=4;Khasir=3;Andre053=3;liqidesigns=3;pliakhov=2;KarishmaChanglani=2;thomassth=2;mattorchard=1;JasperJoeAnto=1;jordyarms=1;jaikaggarwal=1;sharmeenalalloo=1;andrew0796=1;mmythily=1,jeromegv=78;garobrik=15;17cliu=8;yaelboyd=8;jwlibre=7;sarmilan=4;sergeikofman444=3;Andre053=2;KarishmaChanglani=2;melissaluc=2;IlyaKreynin=2;jiakamo=2;anjali-bhaheeratha=1;pliakhov=1;Khasir=1;oscarpinzon=1;mmythily=1
civiform/civiform,4432,863,3569,1.39,29.06,103,67,neel-a-mehta=520;gwendolyngoetz=335;dkatzz=286;melanie-exygy=215;rockycodes=185;elisekalstad=177;auzlee=166;ssandbekkhaug=156;tallulahkay=152;bion=135;shanemc-goog=111;shreyachatterjee00=102;swatkat1=98;nb1701=96;greg-hyde=84;shane-exygy=68;azizova-leyla=65;cassandralfernandes=64;jeanniefu=64;msprenke=61;sijiayam=59;Miguel-314=54;azhangggggg=49;caitlinshk=47;kendrickt=45;reemaka=45;goldblatt=43;carolinedanzi=40;isabelcshaw=40;glorialiou=39;michaelzetune=39;nbeloglazov=37;clouser2=36;tlimsonoda=34;natsid=33;ldinhcos=33;EmiliaPaz=33;shubha-rajan=31;haltmar=31;AlvieH=26;gcapiel=25;seanmalbert=22;watermandrewc=22;kristinyim=20;devin-civi=20;ezraeinhorn624=18;jeffpw-goog=17;leonwong=16;orwant=16;lftaylor2023=15;plabanTest1=15;osajulian-dev=15;lianne-oy=14;lindsayzad=14;yotommy=14;lagosr-google=14;nat-henderson=13;avrittrohwer=13;kpeterson-exygy=13;paripatel07=12;ekalstad=11;zaralouis-sf=10;rasmi=10;codekarma=10;jessbumblebee=9;tinkelperson=8;hmhsu=7;cynthia-x-shi=7;sussman=6;jcma-google=6;jnowell=6;ettengererin=5;jessborland=5;inghamn=5;jhvhs-bloom=5;wukimmy=5;fernandez-jack=5;sarahlinnl=4;megan0422=4;kencenerelli=3;ialv44=3;syntapy=3;carchy-1=3;sxyao33=3;emilytheis=3;kmcnellis=2;renovate[bot]=2;sibow=2;sophiatareen=2;mferhut=2;Miguel-Seattle=2;cityofseattle-googlefellowship=1;AWBaumann=1;Chris-Boe=1;daves-office=1;irodrisa=1;ckirksey3=1;melissakessler=1;bpq-g=1;Peggy-Liao=1;jonpayne-lgtm=1;aieshaosman=1;myfriendgu=1,bion=321;neel-a-mehta=232;gwendolyngoetz=94;dkatzz=91;rockycodes=86;clouser2=78;nb1701=67;kendrickt=66;melanie-exygy=65;reemaka=55;azizova-leyla=55;nat-henderson=51;nbeloglazov=49;swatkat1=46;auzlee=45;carolinedanzi=43;shanemc-goog=43;goldblatt=43;msprenke=37;michaelzetune=36;elisekalstad=28;lianne-oy=26;shreyachatterjee00=26;natsid=24;cassandralfernandes=24;jeanniefu=23;hmhsu=19;rasmi=17;AWBaumann=16;kristinyim=15;shubha-rajan=15;caitlinshk=14;avrittrohwer=14;yotommy=13;leonwong=12;lindsayzad=11;greg-hyde=11;zaralouis-sf=10;seanmalbert=10;kmcnellis=8;azhangggggg=7;gcapiel=6;ettengererin=6;th174=4;isabelcshaw=4;ckirksey3=3;devin-civi=3;Miguel-314=3;ezraeinhorn624=2;tjbanghart=2;jessbumblebee=2;zarifzm=2;ldinhcos=2;EmiliaPaz=2;Snackeroo=1;kpeterson-exygy=1;sussman=1;syntapy=1;tallulahkay=1;glorialiou=1;arielwainer=1;ssandbekkhaug=1;YazeedLoonat=1;shane-exygy=1;codekarma=1;tlimsonoda=1;elliotgreenlee=1
code-for-magdeburg/StadtratWatch-web,261,49,212,0.06,15.51,3,2,JensWinter=259;Micha-Richter=1;Ra-Na=1,JensWinter=211;Micha-Richter=1
codeforamerica/asap_pdf,4,3,1,2.5,7.1,4,1,lkacenja=1;mgifford=1;raybellwaves=1;jrichview=1,xdotcommer=1
codeforamerica/cmr-maryland-eligibility-determination,0,0,0,,,0,0,,
codeforamerica/document-transfer-service,1,1,0,0,,1,0,jamesiarmes=1,
codeforamerica/efiler-api,0,0,0,,,0,0,,
codeforamerica/form-flow,0,0,0,,,0,0,,
codeforamerica/pya,0,0,0,,,0,0,,
codeforamerica/tax-benefits-backend,0,0,0,,,0,0,,
codeforamerica/vita-min,3,0,3,0,0.03,2,2,bengolder=2;martha-brandt=1,bengolder=2;martha-brandt=1
codeforberlin/we-count,37,6,31,1.41,53.2,3,1,CargoBikoMeter=22;elklaassen=14;behrisch=1,elklaassen=31
codeforbielefeld/baumbie,86,44,42,0.38,25.36,4,3,HelenBielawa=36;ViliaZ=19;andreascansee=18;barooney=13,andreascansee=29;HelenBielawa=12;barooney=1
codeforbielefeld/losdb,0,0,0,,,0,0,,
codeforcologne/Denkmal-4D-Koeln,0,0,0,,,0,0,,
codeforjapan/BirdXplorer,109,5,104,0.58,38.8,8,7,yu23ki14=67;osoken=28;sushichan044=6;ayuki-joto=4;kota-yata=1;iazzenma=1;sitopp=1;devin-ai-integration[bot]=1,yu23ki14=74;osoken=17;ayuki-joto=9;kota-yata=1;iazzenma=1;NEKOYASAN=1;sushichan044=1
codeforjapan/decidim-cfj,199,30,169,3.17,7.19,23,7,takahashim=41;isaozz=36;halsk=27;ayuki-joto=19;kken78=16;komtaki=14;yusukesaitoh=14;tomoaki-n=11;MaySoMusician=4;sion908=3;mcyph=2;smellman=1;knsg16=1;doyaaaaaken=1;y-chan=1;SKosaka=1;tomofu74=1;kimihito=1;poba1031=1;MakoMizuno=1;imdkarthik=1;mr-xx=1;froger=1,ayuki-joto=85;halsk=68;komtaki=8;isaozz=3;takahashim=3;knsg16=1;kken78=1
codeformuenster/klimawatch,61,17,44,1.51,26.27,12,5,silberzwiebel=38;ubergesundheit=7;thunfischtoast=4;TomThats=3;lhm=2;MTRNord=1;marcel12bell=1;quassy=1;kolossos=1;gerbsen=1;k-nut=1;cryve=1,silberzwiebel=37;thunfischtoast=3;ubergesundheit=2;marcel12bell=1;kolossos=1
digidemlab/decidim-census,1,1,0,0,,1,0,patcon=1,
g0v/tw-rental-house-data,54,23,31,0.85,8.97,6,2,ddio=49;AJua=1;swilly0906=1;yellowsoar=1;sushi3085=1;tan-i-ham=1,ddio=30;sushi3085=1
iiab/iiab,1530,317,1213,8.39,14.84,123,40,holta=931;tim-moody=116;jvonau=97;arky=65;georgejhunt=31;m-anish=29;avni=24;veeara282=22;mitra42=12;deldesir=8;shanti-bhardwa=8;llovemixo=7;mikerjensen=6;rgarrison1=6;EMG70=5;kananigit=4;KW4NP=4;isuzumac=4;traverseda=3;vinaybissa=3;ericnitschke=3;floydianslips=3;mikkokotila=3;kmw=3;Mortvert=3;rickgurmet=3;icebox827=3;Abdulrahman392011=3;stenevang=3;SkynetAdmin=3;cbalbont=3;Ark74=3;germanrs=2;benjaoming=2;Piflyer=2;myself248=2;JamesM92=2;chjohn22=2;lemueldsouza=2;dagelf=2;boholder=2;vlnn=2;stebbo63=2;Jamhuri2023=2;scarolan=2;1n5aN1aC=2;giglioroninomicon=2;technofox01=2;chapmanjacobd=2;dangerfantastic=2;shantibhardwa=1;ThatMattGuy123=1;mrdavidhaag=1;mir123=1;ivanistheone=1;Tjstanton=1;Daniel-Mietchen=1;kodepharm=1;Birdzview=1;menneal=1;truesamurai=1;siriuswapnil=1;brandhoff1234=1;BagOfCoins=1;Hypernovae0=1;pumpkinpi85=1;ganastor=1;mihalkaengineering=1;webmap2015=1;Mathazzar=1;abhiapsunde=1;Hermanio=1;pelwell=1;mattsap34=1;JamieSlome=1;jackrodonnell=1;susanrm=1;andrewclark5=1;yuvrajmakkena=1;AgentJeffy=1;Bigun=1;drszxn=1;turingtrust=1;johnklos=1;Pseudonym77=1;landowark=1;11nestyy11=1;JarvisWhitman=1;Magicman0423=1;github59173=1;mattrossman=1;miloshev=1;mnmed=1;eriad25=1;Nemoron=1;breconides=1;Tengu42x=1;unsigned8547=1;Dphilly-215=1;pixel5=1;PeterTGarner=1;4casts=1;Akatama=1;setupify=1;prepperdisk=1;DryFudge=1;mydadisamoron=1;victorb=1;EinMaSpey=1;Crumararen=1;jonobie=1;GarlicToast1=1;SnakesAndLadders=1;ptlambert=1;observeroftime01=1;YogiBuilds=1;JonSimmons=1;grinok=1;callofduty194-cpu=1;gaminghermit1970-tech=1;Sudoman22=1;animotone14-ux=1;IoshuaCastillejos=1,holta=1040;jvonau=52;tim-moody=40;georgejhunt=19;arky=7;llovemixo=7;deldesir=4;avni=4;traverseda=2;veeara282=2;mikerjensen=2;m-anish=2;kmw=2;Abdulrahman392011=2;scarolan=2;Ark74=2;benjaoming=1;shantibhardwa=1;floydianslips=1;mitra42=1;KW4NP=1;Tjstanton=1;truesamurai=1;siriuswapnil=1;brandhoff1234=1;ganastor=1;JamesM92=1;Mathazzar=1;lemueldsouza=1;boholder=1;shanti-bhardwa=1;AgentJeffy=1;vlnn=1;11nestyy11=1;Nemoron=1;unsigned8547=1;1n5aN1aC=1;isuzumac=1;Akatama=1;SnakesAndLadders=1
meshtastic/Meshtastic-Android,1480,32,1448,3.04,6.29,666,99,b8b8=69;geeksville=50;DaneEvans=41;shortwavesurfer2009=36;cracky22=32;prokrypt=26;pedjas=20;NomDeTom=19;Dtrieb=17;jamesarich=17;shalberd=15;Pitel=13;neopiccolorat=13;ghost=11;jeremiah-k=10;megabyte2010=9;battlehax=9;garthvh=8;rcarteraz=8;GMart=8;RichieFrame=8;domusonline=8;ForeheadFox=8;spfmoby=8;mdecourcy=8;ccchdro=8;IZ1IVA=7;madeofstown=7;valzzu=7;jsoberg=7;mc-hamster=6;ianmcorvidae=6;rjDipcord=6;Dorn8010=6;fti7=6;brebtatv=6;StrangePelaton=6;marek22k=6;lgoix=5;timgunter=5;DylanHoen=5;KrazyKerbalnaut=5;tropho23=5;andrekir=5;clavo2=5;SR7673=5;RightHandMan1=5;IzzySoft=5;Donnie650=5;lucidnx=5;thebentern=5;fifieldt=5;MALAONE1=5;canadamadman=5;RCGV1=5;RadioPapaXray=5;RaspberryProgramming=5;fw190d13=5;jaykayenn=4;tb0hdan=4;jp-bennett=4;Marlontebaldi=4;mattdrum=4;MS3zr=4;Paul-Pressure=4;notmasteryet=4;Justin-Mann=4;thatSFguy=4;Eldin-The-Dragon=4;lkosson=4;Nikotine1=4;livingdeath72=4;wwin3286tw=4;dl9sau=4;formiification=4;claesg=3;slavino=3;drewsed=3;nconder=3;IRainman=3;DarkFIxED=3;boby1975=3;ghostop14=3;GUVWAF=3;seydunatirej=3;edmkng=3;mtsdawson=3;erayd=3;David-Woodward=3;Bryang0syr=3;mgoljak=3;mrx23dot=3;barryhunter=3;TheDomanNow=3;joneyes=3;adingbatponder=3;todd-herbert=3;Talie5in=3;Dokument=3;stretchkerr=3;IlyaMZP=3;Ccz119=3;KC1OCY=3;Xaositek=3;danditomaso=3;bquinlan=3;Nevermore-42=3;Marek-mk=3;jekeam=3;glith=3;TapGhoul=3;bunder2015=3;John-Wong-Cyber=3;EA7JRS=3;F4EGX=3;dzid26=3;dpedu=3;Dafeman=2;tuxphone=2;luxonn=2;Bussemann=2;hb9eue=2;prampec=2;kokroo=2;Vertikar=2;rwcts=2;joshbowyer=2;MaximKrasikov=2;semtex1987=2;caveman99=2;prurigro=2;pmarches=2;nickjanzen=2;Andrey-VD=2;mverch67=2;N1obu=2;fds2610=2;KeithMon=2;pdxlocations=2;tttmmmsss=2;mrekin=2;artiommocrenco=2;scotty123=2;ayysasha=2;tick-hack=2;Danie10=2;eldoctorcool=2;Ztrby=2;asjmcguire=2;danwelch3=2;SurfingSpider=2;karamo=2;AddisonTustin=2;kittenarmy=2;BobsBlueNorth=2;scotty6435=2;skykingisepic=2;KubaMiszcz=2;Synthacon=2;sqvery=2;jranma=2;phaseloop=2;Galdere=2;linsui=2;WJCFerguson=2;lewi3069=2;randrewfox=2;willp618=2;linker3000=2;roberthadow=2;tuxmobil=2;bmatic385=2;Stephen-S-H=2;rug1024=2;yetanothercarbot=2;alexholman=2;willhubs=2;ZeroZeroOne-dev=2;Mictronics=2;mygooglyeyes=2;oseiler2=2;Korb=2;bergie=2;HougeDK=2;kandev=2;mjvolante=2;rob-fi=2;poliver=2;mesb1=2;adelobosko=2;Stary2001=2;Ratio2=2;PvPDM=2;Snayler=2;gztproject=2;Pedrom-pt=2;DarkRanger935=2;elagin=2;olekstomek=2;girtsf=1;x2764tech=1;DeadlyDad=1;b3hr3ns=1;brianczapiga=1;lewisxhe=1;thomslik=1;feh123=1;TitanTronicsAlbania=1;chron0=1;gkelly=1;Alixpat=1;luandro=1;moxy-bc=1;PCRobert=1;DDVanMS2018=1;DingoOz=1;jduff001=1;datadrian=1;improvethings=1;LuckyFishGeek=1;stephen304=1;balazs-h=1;JamesM92=1;khimaros=1;nasprouse=1;rudiprinsloo=1;hellodtm=1;systemrok=1;ChromeBlue=1;joeysmart=1;SQ7HIT=1;sorvis=1;henricazottes=1;paulmandal=1;hpsaturn=1;zyrorl=1;CasualArclamp=1;vinloren=1;apt105=1;Xanuman=1;DakotaNelson=1;MeshM-M=1;Chiumanfu=1;jazap=1;jdstroy=1;ChuckNorrison=1;KiwiHC16=1;DarrenKS227=1;jacky4566=1;Beiri22=1;linagee=1;mchisari=1;ernax78=1;amal1205=1;mcumings=1;kingoffoxes=1;KrustyDerClown=1;5rxp=1;djscoutmaster=1;tomcarlson=1;CHAUPTMANN=1;ri0t=1;tsilvs=1;jgoerzen=1;Noki=1;Discharge87=1;PWRxPSYCHO=1;zeitrechnen=1;EmileSpecs=1;lesykm=1;MihaiRF=1;MagicalSpacePope=1;djjayballz=1;hikk2003=1;IhorNehrutsa=1;mcayea95=1;problex=1;kevinb0=1;zjs81=1;Masterjagarn=1;micheljung=1;mchuzie=1;ozmy=1;krasi-georgiev=1;User12005=1;ramaboo=1;PhilipLykov=1;G2Dolphin=1;ajmcquilkin=1;ondrejtoral=1;nikito7=1;homesec24=1;kellytiger=1;renovate[bot]=1;Apfelwurm=1;Niximkk=1;hitachi8=1;marcluer=1;universal7=1;noffeperfekt=1;jyunte=1;johnnytshi=1;geoffwhittington=1;Ferretdog=1;crypto-smoke=1;lukipuki=1;radiodiscone=1;adriantache=1;ghsni=1;daviscodesbugs=1;KevinKW87=1;costonisp=1;btcpuertorico=1;BillyBag2=1;Sm1thson=1;null31=1;ctrose010=1;slash-bit=1;Kralg=1;Pscope=1;Sparqx73=1;M1CJX=1;2E0RPT=1;francisuk1989=1;frazzmatazz=1;SorenTheSwede=1;jp83=1;capslockapocalypse=1;djcasper1975=1;Marx1=1;AndreiRegiani=1;wzx6kwxr7j=1;geekfuns=1;BrunoKlu=1;lemonade1947=1;manatactical=1;faradayfedora=1;daniel-hofer=1;Heppie=1;dustingrady=1;slabua=1;KyleMaas=1;overlord23=1;chrisdebian=1;bixfliz=1;dougjeff=1;Emmpunkt=1;GiuStel=1;denis1482=1;pomazanbohdan=1;djoris=1;cyberorg=1;Mr-Philipp=1;M7OCM=1;alexn023=1;SimbimChimbetov=1;bagmanden=1;gawadepd07=1;jayroos=1;mudcamper=1;oguzcanking38=1;Marc12O=1;dawals1=1;Marvin-YYC=1;andymccall=1;jaredcat=1;vext01=1;int21=1;ADADarkpool=1;djholt=1;CamFlyerCH=1;Gremlin1987=1;Bergstern=1;noon92=1;SZemanek=1;nikvostro=1;easytarget=1;thefoeyouknow=1;369Martin369=1;DerWossi=1;F13bubble=1;j0hncc=1;jesseas=1;shoopes2=1;GuiSousa135=1;samo-nz=1;Pretzelkinss=1;ragnarblackmane=1;ndoo=1;geekscrapy=1;Franselbaer=1;rayslinky=1;Droopydroors=1;jimbolimbo3=1;wueeh=1;HB9HLI=1;PrintsLeo=1;liamcottle=1;FredB1959=1;sycophantic=1;ServeurpersoCom=1;epragalakis=1;rmeineke=1;DooMMasteR=1;OE3JGW=1;lupusworax=1;MagooYFZ=1;apoger=1;NH-RedAnt=1;IcyMidnight=1;draen=1;rothmma=1;skylarmt=1;liquidraver=1;hcker2000=1;fernandosanchezjr=1;rndmcnlly=1;techyporcupine=1;ikm19=1;ZuluZuluNL=1;brianshea2=1;MrMitch17=1;detlefgerhardt=1;KomelT=1;todd2982=1;mahlonsmith=1;jibinbabuamakkattu=1;jeremyherbert=1;tggege=1;arthurlutz=1;Vlaskursk=1;Velaxtor=1;sircotra=1;redfast00=1;mrickey=1;N7FMH=1;vidplace7=1;Deuteranomalous1=1;overkillthemighty=1;Avaloniac=1;AndrewReitz=1;tscharly=1;miawgogo=1;Astrodex-zz=1;krzotr=1;benjistokman=1;lamdar218=1;aghl100=1;kabili207=1;splendidmata=1;true911=1;candre23=1;zbenta=1;akhepcat=1;Grim1313=1;Timman6866=1;EmilioAL-Git=1;TheBamse=1;lendra-sejasa=1;andrewdevans=1;Dude5101=1;silvacharles=1;Soupbones=1;GoProProfi=1;Joseph-DiGiovanni=1;luijoel=1;dmarman=1;macvenez=1;Rhysun=1;zomgugoff=1;Afettu=1;rfschmid=1;Crank-Git=1;smokeandlights=1;paulwalko=1;ErikLentz=1;pretired=1;Rikku2000=1;F5UJA=1;KidA001=1;Phi-Wa=1;Brathahnchen=1;KoshiirRa=1;formtapez=1;BlacMac=1;nullmonk=1;StukyX=1;NicNull=1;cvzi=1;MarkR-UK=1;snake0073=1;py4xc=1;jhite1234=1;andrewheadricke=1;Mdawg09=1;matvasenin=1;serialrf433=1;kirinn600=1;DOC-HOC=1;emwjacobson=1;PabloGirol=1;unhold=1;versteckt89=1;twaddington=1;spaetz=1;mlnoga=1;jurgen2005=1;gafu42=1;cbvicious=1;c0dexter=1;MGJ520=1;DustinTrib=1;nakkisausage=1;ddamianus=1;MGMirdita=1;vekexasia=1;EnGamma=1;rohanssrao=1;voycey=1;frewsxcv=1;u451f=1;Davegsm82=1;tyzbit=1;realtag-github=1;digitisingsafety=1;OTLabs=1;Octane14=1;azwirko=1;grumpy-pirate=1;0xC4DE=1;bogdanvasut=1;mxair95000=1;sniporbob=1;SaschaKt=1;infered5=1;PitchPoler=1;Kongduino=1;rdx128=1;Sparkling-Ice=1;Yamaford=1;Stephan-2025=1;tommiahonen=1;sdsmithy=1;korbinianbauer=1;zrdcorp=1;mg95-16=1;Radiokot=1;jbevren=1;aniro=1;iforand=1;hp6393=1;b4b857f6ee=1;devicenull=1;KastenKlicker=1;dougblock=1;ZerdaFawkes=1;ZWatcher=1;mcangeli=1;PR31D=1;fizzyfuzzle=1;rafarsimoes=1;BurdMahn=1;heeplr=1;cardwellcd=1;ale-rinaldi=1;rosapanzer=1;Humble-Helper-96=1;nemanjan00=1;wjg57=1;licaon-kter=1;bigbn=1;JC-Conner=1;eureekasigns=1;garethmo=1;dblaber=1;skgsergio=1;AshleighTheCutie=1;morrowwm=1;tranziq=1;rensnederland=1;Domwilko1=1;BlitDev=1;mro95=1;udenfox=1;R6DJO=1;Slasher006=1;rojosios58=1;domasofan=1;Jord-JD=1;Hamberthm=1;31337-4554551n=1;krandu=1;mbjorck69=1;jschollenberger=1;ixvick=1;tsalisbury0=1;Bellirofont=1;emp3r0r7=1;hkramski=1;brad112358=1;vranki=1;Ron252525=1;luciomarinelli=1;antoni-devlin=1;ngarafol=1;vranisimo=1;AnaFerreira015=1;bricka=1;ha1em=1;dadanielat=1;mileshkin=1;Bestora=1;miketweaver=1;Andreotti100=1;d0ugak=1;simonebrunetti90-glitch=1;Vortetty=1;HarukiToreda=1;gpend=1;Draconas=1;tavdog=1;nilkemorya=1;PitPaul=1;ckuttruff=1;brunoarine=1;tinux7=1;secretmango=1;jrddupont=1;stemy2=1;MortTalmon=1;4rneee=1;Cassolotl=1;nreisbeck=1;l5yth=1;th3cavalry=1;Firokat=1;assanges=1;ShveyLien=1;notfence=1;Sonic3Modder=1;bankosegger=1;maples3=1;MHSEA=1;Will-wastelander=1;skobkin=1;laundmo=1;iuvi7=1;andrewamidei=1;FamousL=1;AquaFrostByte=1;ogarcia=1;Chris7X=1;Alexey5112=1;mnalis=1;villamany=1;bradparrott=1;twojtachnio-ship-it=1;Redume=1;Stormtracker017=1;camopants=1;jesserockz=1;klikis=1;W3DMJ=1;WB3IHY=1;echopin27-ux=1;n-engelhardt=1,andrekir=425;jamesarich=384;github-actions[bot]=192;DaneEvans=110;geeksville=79;b8b8=69;garthvh=32;mc-hamster=20;shortwavesurfer2009=9;lgoix=5;thebentern=5;ccchdro=5;shalberd=4;mdecourcy=4;KrazyKerbalnaut=3;rcarteraz=3;cracky22=3;poliver=3;Pitel=3;IzzySoft=2;jp-bennett=2;caveman99=2;madeofstown=2;willhubs=2;ZeroZeroOne-dev=2;canadamadman=2;TapGhoul=2;RaspberryProgramming=2;brianczapiga=1;chron0=1;JamesM92=1;drewsed=1;zyrorl=1;prampec=1;jaykayenn=1;zeitrechnen=1;IhorNehrutsa=1;mcayea95=1;krasi-georgiev=1;tropho23=1;homesec24=1;marcluer=1;tick-hack=1;Donnie650=1;Kralg=1;ayysasha=1;Sparqx73=1;capslockapocalypse=1;lucidnx=1;BrunoKlu=1;Heppie=1;pomazanbohdan=1;AddisonTustin=1;gawadepd07=1;jaredcat=1;Talie5in=1;djholt=1;mtsdawson=1;notmasteryet=1;jsoberg=1;draen=1;ianmcorvidae=1;skykingisepic=1;hcker2000=1;techyporcupine=1;ZuluZuluNL=1;todd2982=1;jeremyherbert=1;krzotr=1;lamdar218=1;candre23=1;akhepcat=1;Timman6866=1;Joseph-DiGiovanni=1;Crank-Git=1;nullmonk=1;NicNull=1;Mictronics=1;snake0073=1;andrewheadricke=1;Justin-Mann=1;yetanothercarbot=1;PabloGirol=1;MGMirdita=1;Octane14=1;PitchPoler=1;Kongduino=1;Xaositek=1;livingdeath72=1;tommiahonen=1;zrdcorp=1;bunder2015=1;wwin3286tw=1;willp618=1;udenfox=1;linsui=1;luciomarinelli=1;mileshkin=1;John-Wong-Cyber=1
